Datensatz;Name_Parameter;Spalte_v1_06;Spalte_v1_11;Spalte_v1_12;Spalte_v1_15;Verwendung
cost_summary;at_days_out_of_market;at_days_out_of_market;at_days_out_of_market;at_days_out_of_market;at_days_out_of_market;Econ - Days out of market
cost_summary;at_loss_of_trade;at_loss_of_trade;at_loss_of_trade;at_loss_of_trade;at_loss_of_trade;Econ - Loss of trade
cost_summary;at_overall_cost;at_overall_cost;at_overall_cost;at_overall_cost;at_overall_cost;Econ - Total costs
cost_summary;bg_surveillance;bg_surveillance;bg_surveillance;bg_surveillance;bg_surveillance;Econ - Surveillance costs
cost_summary;bg_culling;bg_culling;bg_culling;bg_culling;bg_culling;Econ - Culling costs
cost_summary;bg_disposal;bg_disposal;bg_disposal;bg_disposal;bg_disposal;Econ - Disposal costs
cost_summary;bg_disinfection;bg_disinfection;bg_disinfection;bg_disinfection;bg_disinfection;Econ - Disinfection costs
cost_summary;bg_vaccination;bg_vaccination;bg_vaccination;bg_vaccination;bg_vaccination;Econ - Vaccination costs
cost_summary;bg_compensation;bg_compensation;bg_compensation;bg_compensation;bg_compensation;Econ - Compensation costs
cost_summary;bg_post_mgmt_total_cost;bg_post_mgmt_total_cost;bg_post_mgmt_total_cost;bg_post_mgmt_total_cost;bg_post_mgmt_total_cost;Econ - Post management costs
cost_summary;bg_control_centre_cost;bg_control_centre_cost;bg_control_centre_cost;bg_control_centre_cost;bg_control_centre_cost;Econ - Control center costs
cost_summary;bg_days_out_of_market;bg_days_out_of_market;bg_days_out_of_market;bg_days_out_of_market;bg_days_out_of_market;Econ - Days out of market
cost_summary;bg_loss_of_trade;bg_loss_of_trade;bg_loss_of_trade;bg_loss_of_trade;bg_loss_of_trade;Econ - Loss of trade
cost_summary;bg_overall_cost;bg_overall_cost;bg_overall_cost;bg_overall_cost;bg_overall_cost;Econ - Total costs
cost_summary;hr_surveillance;hr_surveillance;hr_surveillance;hr_surveillance;hr_surveillance;Econ - Surveillance costs
cost_summary;hr_culling;hr_culling;hr_culling;hr_culling;hr_culling;Econ - Culling costs
cost_summary;hr_disposal;hr_disposal;hr_disposal;hr_disposal;hr_disposal;Econ - Disposal costs
cost_summary;hr_disinfection;hr_disinfection;hr_disinfection;hr_disinfection;hr_disinfection;Econ - Disinfection costs
cost_summary;hr_vaccination;hr_vaccination;hr_vaccination;hr_vaccination;hr_vaccination;Econ - Vaccination costs
cost_summary;hr_compensation;hr_compensation;hr_compensation;hr_compensation;hr_compensation;Econ - Compensation costs
cost_summary;hr_post_mgmt_total_cost;hr_post_mgmt_total_cost;hr_post_mgmt_total_cost;hr_post_mgmt_total_cost;hr_post_mgmt_total_cost;Econ - Post management costs
cost_summary;hr_control_centre_cost;hr_control_centre_cost;hr_control_centre_cost;hr_control_centre_cost;hr_control_centre_cost;Econ - Control center costs
